DATE,BT01,BT02,BT03,BT04,BT05,BT06,BT07,BT08,BT09,BT10,BT11,BT12,BT13,BT14,BT15,BT16
2016/2/19,18014302,3640072,50574,917012,415828,7599168,3799506,1008224,14204457,6615835,2039666,631393,147197,5235629,78324,2692540
2016/2/20,14173094,2404207,18333,517334,229836,5569163,3453847,323963,9234137,5273257,1348358,214245,46756,2598215,49931,2475340
2016/2/21,16232593,2967487,33671,725929,345246,6565170,3622391,718060,11829556,6148295,1731778,454108,109128,4080826,66357,2981489
2016/2/22,18292092,3530767,49008,934524,460655,7561176,3790935,1112156,14424975,7023333,2115197,693970,171500,5563437,82782,3487637
2016/2/23,20318691,3710366,34893,958933,518507,8343559,3680137,1181614,15209385,7061169,2460587,649528,176635,5772299,80617,2703291
2016/2/24,20779856,4353641,39275,1034195,452893,8404760,3607385,1030026,16805415,7240802,2447665,587224,146940,5941044,79618,2707615
2016/2/25,22119535,4181293,35689,1038197,489814,9430909,3733637,1054200,16576832,7692840,2632614,732814,171808,6122087,85990,2877910
2016/2/26,20189887,4099137,52453,1050005,399854,8951283,3802494,955103,16117893,7635310,2196838,636586,144736,6159915,86185,2948624
2016/2/27,14824369,2616319,18823,554627,183464,6130790,3509610,306850,10029762,5834826,1346006,216915,44577,2678642,48761,2708893
2016/2/28,14263464,2377650,16831,486695,152630,5590758,3706874,286627,9047944,5758633,1269322,176111,43058,2449072,43958,2715450
2016/2/29,21260707,4508550,49789,1110938,499933,9960846,4252590,1144571,17343387,8373769,2070112,773244,176387,7343608,98394,3063411
2016/3/1,22105157,4399346,36206,1138564,524042,9951022,5067240,1220951,17497565,7866950,2514989,796647,193860,6178559,82399,3378488
2016/3/2,20772858,4203456,39678,1081462,502373,9212410,4708863,1012376,16299311,7650551,2500936,648924,162099,5475638,83332,3153391
2016/3/3,20547062,4078518,33744,995791,493630,9258701,4372280,1027356,15746612,7538421,2441552,553902,164775,5461989,82981,3036764
2016/3/4,19519383,4129642,49905,956468,407616,8590640,4239297,887515,15567374,7571859,2236120,994050,141060,5456702,79289,2988472
2016/3/5,15557352,2631402,17650,483747,196297,6466455,3796133,292496,9766799,6143357,1634705,238243,41032,2646336,42031,2710391
2016/3/6,14481849,2324915,15927,441559,151344,5622962,4122315,265178,8759640,5907934,1463302,188861,38485,2434374,35494,2619263
2016/3/7,19659941,4210997,47334,967059,397129,8887655,4289044,1068911,16057974,7765826,2130248,983912,178040,5784127,84507,2909010
2016/3/8,19173171,4131916,33505,979397,448225,9054143,4509364,1044261,15300156,7802903,2079555,915718,170207,5444057,80987,5918157
2016/3/9,19388338,4111307,35336,902959,413917,8924567,4287123,966818,15599401,7227760,2158634,869327,160583,5587943,84245,2684501
2016/3/10,21463871,4216442,30817,945659,359004,9461654,4770377,976629,16254904,7530508,2229655,650105,174875,5725554,83080,2784667
2016/3/11,19253747,4191979,47087,1016189,338019,8725374,4099680,873643,15660589,7541627,2114726,953741,141500,5592526,71141,2749780
2016/3/12,14630034,2616360,16303,507151,169676,5821914,3672818,282800,9402044,5794913,1670732,204317,40597,2611973,35908,2561191
2016/3/13,13692246,2370138,13667,512080,144132,5257573,3621600,271106,8577615,5644481,1543957,173404,39743,2431762,31379,2559865
2016/3/14,20004364,4284216,43634,1007450,379098,8977306,3859822,1065005,16268632,7701828,2127624,715482,187785,6085632,72034,2752328
2016/3/15,21182680,4679872,30824,991959,410291,10083824,4242875,1090151,17572733,8081815,2074325,840040,175082,6109053,79846,2773347
2016/3/16,19929213,4211499,32621,974717,386233,9078151,4131599,918266,16311099,7748045,2008305,555663,153552,5367592,77297,2772984
2016/3/17,19449763,4320435,29046,1048159,390307,9003869,3993099,956434,15763493,7488520,2202388,957305,165265,5064734,83990,2731824
2016/3/18,19305853,4278373,42785,1028360,507000,8857126,3944545,891828,16003591,7910503,2128806,1016643,148480,5396966,87597,2970814
2016/3/19,14397065,2636798,14438,507464,275480,5952102,3662925,297123,9761008,5972380,1305198,208206,43305,2423650,42343,2604145
2016/3/20,14309700,2493939,11857,425642,173866,5642678,3702463,257781,9211733,6031498,1250454,177461,37206,2251065,36991,2629375
2016/3/21,20775304,4553304,38835,1049474,527074,9754063,4186973,1029188,18166482,8145032,2170656,792828,177712,6222664,85723,2848707
2016/3/22,20347627,4520172,27001,1024690,576899,9616871,4003884,1039856,16939514,7614157,2120437,857383,157951,5764329,87424,2837169
2016/3/23,20406832,4400471,27077,1037249,480519,9508258,4017895,892839,16624848,7543721,2384417,886502,144155,4580782,78816,2768338
2016/3/24,21035681,4378607,23257,1052924,482566,9437807,3911495,892588,16543081,7614045,2376507,780171,144052,4578361,75373,2858403
2016/3/25,22005716,4488987,34506,1106719,392392,9590550,4124768,886035,16957586,8294329,2594398,408898,141383,4918416,78611,2917254
2016/3/26,15451822,2744684,11440,517574,211042,6503141,3626778,291989,9942066,5965267,1619182,185169,40725,1820225,30309,2613845
2016/3/27,14255302,2571264,9186,472221,150541,5896469,3665836,268534,9046635,5906800,1325494,169911,38815,1573867,25177,2510538
2016/3/28,20174058,4548155,33639,1092417,397797,9517943,4162050,1140031,17627464,8046770,2111738,662194,175468,5239837,61563,2740057
2016/3/29,19355779,4448474,23367,1128152,387913,9260746,3965205,1479588,16973707,7637093,2011641,552374,189544,5034561,65746,2707116
2016/3/30,19341510,4455173,23930,1118460,398258,9199268,3905048,1494809,16761220,7532870,2005326,698193,185987,5024656,58103,2744198
2016/3/31,20656465,4569399,21595,1165113,471904,10037144,4053225,1702105,17620195,7858235,2078468,585440,252636,5464837,57350,2855741
2016/4/1,22262221,4402171,31784,1204498,432904,10359364,4941668,1424275,17097117,8277865,2504089,513644,214891,5243497,60249,4017526
2016/4/2,14996535,2555174,12035,549600,212225,5976480,4305887,290279,9656919,5964549,1605466,197722,45602,1813509,25534,3065573
2016/4/3,13247936,2133180,9621,492118,151161,5108451,3801554,239751,7830084,5676391,1443547,164826,36188,1524391,21167,2829181
2016/4/4,13638875,2073517,8859,450273,147718,5401951,3732835,282397,7774982,5627727,1396290,368964,45307,1515028,22876,2543559
2016/4/5,22392490,4258549,30253,1116624,480940,9913904,4491719,1548496,17070487,8114445,2674865,828468,239451,4845120,58454,2895826
2016/4/6,19985547,3987253,18564,1078183,555462,9191753,4304358,1326498,15675999,7679271,2400243,531417,193437,4406304,54007,2830308
2016/4/7,19334834,3920610,17138,1057155,490700,8928627,4136354,1324923,15353566,7355621,2162806,593051,195192,4352326,53211,2779271
2016/4/8,20119527,3979917,27169,1034074,408851,9437741,4204319,1201611,15650902,7794896,2262207,551522,179967,4505728,54553,2829158
2016/4/9,15051424,2495179,7996,501483,205970,6317378,4352076,298320,9472097,5869438,1483629,193226,44443,1805839,23300,2663474
2016/4/10,15164931,2401708,6518,460712,165092,5936732,4866588,306292,9313772,6057541,1574555,169172,46175,1673085,21995,2616496
2016/4/11,21244782,4219276,25599,1018547,441043,9794675,4573670,1459800,17138852,7979188,2322664,900206,234691,4658743,58454,2824272
2016/4/12,20137245,4090350,18447,999001,479640,9195709,4338761,1281719,15913517,7498293,2401928,901812,196202,4534074,54307,2829416
2016/4/13,19274079,3930157,18634,1019373,470174,8593205,4112427,1078625,15261881,7369979,2292955,749295,163751,4387510,51547,2758427
2016/4/14,18716231,3901065,15595,1045668,475149,8493840,4007509,1157197,15176157,7333080,2071353,840634,165834,4456910,51187,2786062
2016/4/15,21276629,4269433,24891,1110644,448950,9857715,4452621,924115,17338307,8395039,2036968,679259,148404,4709058,55647,3091292
2016/4/16,15207880,2528726,7482,534171,227043,6395470,3981427,288897,9864947,6134736,1314782,208880,41810,1807226,24938,2898599
2016/4/17,14237991,3309867,6460,423027,176227,4819351,3842092,276789,8003830,6067278,1394985,175555,46515,1494650,19719,2808551
2016/4/18,20412466,5723909,23072,1098655,418941,8174200,4283386,1145896,15586303,8096508,2274570,639878,201633,4520237,58866,2928353
2016/4/19,19372356,5647036,16809,1063962,409385,8012728,4273135,1074968,14497465,7740943,2073644,1084597,183636,4383570,60847,2983031
2016/4/20,19886592,6098858,16731,1083329,462321,8545198,4311937,943477,15422382,7959928,2129926,1191329,160241,4458951,61454,3064069
2016/4/21,19026431,6253286,14644,1105242,383370,7899930,4223558,961838,13600207,7863367,2094691,1417318,170425,4287410,56240,3041257
2016/4/22,18494617,5878120,22445,1149566,343185,7427451,4187623,833036,13052751,7799758,2085758,841554,145942,4368815,55474,3068954
2016/4/23,14415537,3954756,6470,549622,177109,5347063,3805640,283064,7918990,6070138,1539721,216351,45119,1784437,24134,2916937
2016/4/24,14665741,3612317,4583,481408,141685,4845004,3745917,261149,7281155,6094538,1563033,172942,43036,1625339,22345,2801953
2016/4/25,22740241,6617950,21195,1189773,374039,9028006,4447488,1097700,15516852,8599299,2869325,786012,203829,5093794,61070,3008476
2016/4/26,19513585,6164220,14780,1183952,357003,8156315,4289042,988119,14179235,8002380,2431993,638395,173800,4771103,61590,3090536
2016/4/27,18502537,6140881,14668,1169860,352717,7904783,4148768,919064,13820885,7869423,2042832,900892,158924,4598023,54867,2983067
2016/4/28,18862541,6246973,11711,1225636,359597,8069782,4207752,1022388,13878027,8032452,2068792,884465,182302,4835986,58675,3042295
2016/4/29,20267029,6749406,19421,1315082,332575,8857884,4375611,964557,14955727,8771504,2096800,1293106,165819,5311499,59933,3404288
2016/4/30,14919044,4190013,6085,582877,154257,5602890,3920009,271897,8269633,6976214,1282965,215031,43731,1928497,29304,3179882
2016/5/1,13398651,3334710,4172,528658,120937,4249087,4469368,215312,6184923,6592275,1361734,172779,33664,1756193,21669,3650015
2016/5/2,13752108,3647169,5722,487359,141321,4613282,4648059,301005,7263932,6149814,1506257,430878,52853,1670965,24708,3347754
2016/5/3,20330654,6371516,16129,1223240,421027,8176609,5031478,1231391,14521050,8213042,2644655,889418,224801,5038974,60621,3463030
2016/5/4,19577677,5994570,10445,1127647,468502,7863244,4715379,1070305,13769484,7962059,2381907,779868,201004,4265499,60192,3192317
2016/5/5,19419744,6059982,8722,1094463,406074,8193317,4583222,1045824,13637592,7804196,2498480,632011,199798,4265203,61588,3090976
2016/5/6,18311245,5856577,13405,1093124,383776,7626959,4563438,842368,13354385,7908182,2306736,639738,163998,4124115,57984,3117958
2016/5/7,13425273,3897868,2751,536379,175435,5102557,4036974,298521,7910088,5976548,1390000,200527,49682,1719748,25759,3016516
2016/5/8,13264488,3637397,1638,508481,137774,4670702,3986280,272952,7135630,6157135,1423629,172087,47035,1565394,23066,3601072
2016/5/9,19224820,6111082,12082,1054365,399006,8003331,4855016,1024080,14337963,8057140,2308747,721279,213270,3835884,59554,2947007
2016/5/10,20644824,6449216,8877,1092484,384967,8637474,5506685,979253,14845401,8128468,2367879,729441,197680,3877169,62898,3098850
2016/5/11,18506046,5943723,9245,1071838,352833,7827903,4517265,872540,13639164,7723193,2143920,764326,173272,3628670,59004,3017952
2016/5/12,18319117,5715499,7919,1050584,372433,7726016,4383937,873524,12799233,7418390,2368187,603171,172026,3671428,56813,3119750
2016/5/13,18770480,5971135,11573,1087791,317394,7860709,4288027,784198,13170871,7919694,2308200,799678,154283,3697812,56803,3138733
2016/5/14,13098189,3783387,2491,529888,155908,5029928,3868138,289052,7790459,5830646,1290431,190053,49159,1683008,25852,2975827
2016/5/15,14017639,3755159,1291,483140,131676,5046517,3975358,293620,7610453,6275427,1224110,168227,51878,1559125,24857,2960278
2016/5/16,20006509,6379847,10687,1062496,338980,8534167,4603353,1031391,15210838,8496249,2104839,789588,220849,3987088,63676,3229677
2016/5/17,19120150,6022425,7857,1086699,356064,8184007,4617794,984964,13883335,7870944,2309270,606262,205141,3754329,58091,3147510
2016/5/18,18288414,5787800,6674,1038640,345174,7644821,4366130,860053,13413704,7734060,2219342,639969,175437,3697364,69462,3131938
2016/5/19,17697193,5751606,5892,1040477,311090,7735904,4262450,870393,13153822,7667259,2059673,1009323,171599,3639185,62492,3279226
2016/5/20,18722988,6112495,8067,1203185,304750,8174509,4642778,861648,13705710,8339536,2080827,583488,157230,3779630,61539,6569329
2016/5/21,13728622,3856580,1339,554594,165856,5391979,4047130,298108,7868959,6075530,1345287,186660,49623,1676478,27941,3122450
2016/5/22,13603041,3525523,778,442584,133609,4749685,3971034,269674,7057760,5963154,1276106,164519,45222,1525534,25006,2936976
2016/5/23,20620214,6255789,7323,1056548,344557,8361090,4407049,1061141,14542477,8057283,2519534,637134,204420,4055885,65990,3113766
2016/5/24,19903624,5945801,6035,1096476,342487,8062312,4336645,987423,13805568,7979030,2401436,631327,195402,3938336,60955,3106195
2016/5/25,20867394,6183324,5507,1235817,335592,8358839,4475064,896599,14090420,8164482,2548133,621516,173237,4115186,64810,3152078
2016/5/26,18765207,5818523,4876,1177944,314089,8147974,4366582,841042,13446863,7755668,2246082,655961,163284,3832978,62080,3202044
2016/5/27,17712572,5782199,5639,1137671,290236,7388167,4325983,792933,12996266,7839569,1918666,687478,152771,3338507,67626,3316734
2016/5/28,13548197,3832907,586,548537,152308,5154734,4005821,275870,7925645,6127361,1247521,190507,47868,1706952,27477,3064954
2016/5/29,12983137,3521532,374,493691,127410,4735715,3951978,264996,7086406,6045918,1170712,163647,46682,1503966,23459,2948554
2016/5/30,19101188,6249654,5113,1221889,305409,8211071,4406371,958965,14334697,8121141,2035771,778409,188562,4359163,63047,3207306
2016/5/31,19111924,6300401,4614,1269138,377151,8246767,4503094,970627,14374079,8159546,2004205,592140,189935,4279093,67802,3360269
2016/6/1,20010484,6088777,4365,1276929,483385,8122577,5612727,889294,13796984,8041315,2446529,540543,172800,4292827,59641,5476523
2016/6/2,19229447,5942639,4291,1256372,446927,7807651,5261371,1113141,13522293,7932429,2511684,456276,178462,3580081,61866,3678148
2016/6/3,19405959,5979715,4482,1239224,434006,7803755,4905943,893360,13262838,8115272,2441402,443083,152328,3608767,63532,3613143
2016/6/4,14810428,3953476,444,549905,224997,5458030,4278075,290023,8201007,6221377,1580359,207902,50644,1785522,29245,3257694
2016/6/5,14133548,3634581,172,486803,158813,4870553,4140615,269260,7350936,6106769,1639456,172445,46323,1673057,26597,3173698
2016/6/6,19471524,6050899,4570,1243275,373254,8091393,4756585,1020441,14055144,8370647,2421229,628767,183800,3752801,64737,3413051
2016/6/7,18440497,5814538,4029,1200546,391262,7800173,4440375,1038013,13452480,7999486,2044527,506204,183851,3614511,65510,3375167
2016/6/8,20378429,6401474,4990,1224452,359508,8577786,4667266,880539,14566873,8751147,2190948,829570,157124,3963733,71788,3666158
2016/6/9,13543680,3600975,177,551492,170219,4485395,4389074,269752,6859896,6126761,1294635,465896,43388,1674013,31219,4258715
2016/6/10,14215128,3766170,626,498187,151744,5121280,4646736,300037,7924602,5963476,1519090,412190,54634,1699545,30897,3014656
2016/6/11,12982185,3508853,141,465686,139804,4889203,4104241,274747,7316208,5717893,1324303,199119,48503,1535237,28156,2998873
2016/6/12,18732157,5434859,4260,1024956,257405,7432951,4548852,832538,12803057,7485167,2410589,235954,160008,3543558,56905,3193121
2016/6/13,19231379,6125770,3993,1197758,385379,8139492,4577520,1156480,14405034,7824508,2447534,1015121,213704,3618442,64806,3294900
2016/6/14,18368232,5818608,3725,1181444,372765,7637037,4368328,1015275,13758236,7577272,2033380,645959,183654,3634343,65714,3282062
2016/6/15,20424165,6576093,3743,1204712,361673,8506962,4731282,913195,15266825,8170299,2064145,627768,163909,3760912,68165,3529432
2016/6/16,19759886,6250859,3904,1208837,389187,8209152,4622310,909322,14338290,8011901,2065346,1224192,163842,3626282,67889,3562823
2016/6/17,18748564,5983016,3979,1254929,354415,7582967,4424285,798044,13851433,8093143,2262258,809737,145619,3646011,67693,3574721
2016/6/18,14332960,4050759,235,623884,184341,5010919,4741954,281742,8294657,6136496,1596687,213997,47038,1737768,32109,3441351
2016/6/19,13023642,3489240,26,556474,137060,4418924,4299915,254809,7132908,6015571,1307196,177647,44740,1556972,27157,3737490
2016/6/20,19889033,6597248,3829,1239110,353210,8505490,4899148,962721,15183881,8401240,2293630,720203,181077,4117265,75821,3510963
2016/6/21,19368621,6025261,3377,1299796,388595,8023979,4747330,979020,14509417,8102516,2145472,653027,175096,3837770,71430,3539174
2016/6/22,18259914,5768164,4029,1245513,353076,7657958,4493247,852565,13423392,7739092,2114357,669400,155161,3645393,64040,3465146
2016/6/23,18989479,5734742,5400,1234004,378077,7588562,4457675,863726,13513905,7814381,2440254,650950,157687,3851212,66086,3463987
2016/6/24,20815282,6571580,4339,1298667,370932,7734197,4446291,889707,14802730,8392797,2506821,3180689,148922,3876566,72106,3624190
2016/6/25,16306364,4333944,181,637466,189716,5614502,4208568,310006,8923343,6401036,1924549,255473,48117,1911847,35225,3404187
2016/6/26,14147647,3635235,0,563693,146644,4837477,4045527,277352,7583334,6167581,1572072,201975,45887,1600848,30760,3273462
2016/6/27,19390415,6506832,3847,1297185,402634,8067853,4574396,1097599,15115406,8561430,2259392,1083084,191088,4284935,75772,3564710
2016/6/28,18836445,6247678,3490,1308205,493136,7918396,4702585,1058051,14668215,8136721,2116401,881642,187548,3980919,76805,3636922
2016/6/29,19032012,6451329,3251,1351777,511299,7876876,4524319,1102020,14826970,8176931,2110220,1390305,191788,4087164,78643,3528637
2016/6/30,20510589,6850840,3613,1455143,473908,8933810,4857253,1145599,15618882,8547797,2156585,923027,201462,4335472,83385,3725032
2016/7/1,21588897,7129975,3522,1392414,466225,8649447,5739330,1286194,15376252,8418241,2524284,1860963,253483,4169887,74022,4373401
2016/7/2,15544584,4299908,13,613251,231070,5672195,5125175,329521,9447661,6414626,1836929,301962,56809,1904753,36777,3928246
2016/7/3,14935518,3800464,0,537996,166464,5049361,4749097,296757,7802311,6291768,1626226,211354,53742,1755411,33164,3703522
2016/7/4,20934239,6703734,3653,1336672,501355,8366411,4938239,1349089,15057104,8398452,2619933,2535940,250260,3969349,67067,3820454
2016/7/5,20715660,6644864,3007,1255894,567713,8155898,4846917,1191337,14771305,8359462,2625189,1466244,216836,3748974,71100,3762975
2016/7/6,18907157,6117880,3059,1191248,508066,7563315,4731010,1050851,13506023,7874052,2422412,1774777,184330,3520629,65907,3645479
2016/7/7,18837974,6013079,2967,1149617,496921,7908640,4560585,1023167,13361196,7774319,2150881,945070,195768,3494714,66443,3717806
2016/7/8,19280958,6211058,3151,1160852,443374,7720310,4785256,898903,13733736,8233011,2220832,853034,173226,3638480,66881,3716025
2016/7/9,14695391,4045886,0,511936,235992,5384335,5022095,310115,8305655,6111634,1550924,275774,54120,1945551,32549,3514589
2016/7/10,14942764,3858150,12,466564,181466,5184551,5646937,301222,7929105,6166274,1589877,211959,56633,1844016,32302,3408809
2016/7/11,19935245,6495964,3288,1168051,451490,8272228,5325956,1111967,15065731,8372447,2305905,1585490,222917,3959139,67629,3678257
2016/7/12,19429269,6100093,2946,1152672,503703,7944262,5010207,1086497,13954129,8017046,2428900,941910,210801,3897300,66568,3627694
2016/7/13,18357904,5987160,2998,1175130,548582,7150057,4850180,917402,13622411,7855383,2414138,1314228,176260,3797931,65961,3578634
2016/7/14,18346985,5972251,3199,1203240,495206,7647599,4675571,923532,13466593,7693552,2123875,1066849,183129,3826088,66665,3603779
2016/7/15,20662423,6635578,3244,1292459,438560,8841948,4992362,831635,15035770,8738469,2045627,792527,162952,3808128,74687,3891459
2016/7/16,14961599,4145468,0,537520,225839,5587699,4227269,297008,8791641,6253266,1367542,224302,54701,1754843,30476,3585032
2016/7/17,14032340,3338620,2,434139,177091,4920105,4006189,272667,7424779,6059264,1459997,190478,82818,1485269,27983,3461250
2016/7/18,20038183,5644835,3138,1112939,429814,8395495,4552297,1010069,14678002,8375313,2429964,935689,317146,3821493,74144,3727264
2016/7/19,18835630,5339856,3086,1197524,451672,8002572,4425028,1004583,13694643,7783897,2120622,745511,300395,3606687,72538,3707738
2016/7/20,18209259,5393296,3107,1160413,418157,7598529,4678910,862113,13364850,7726276,2076970,809806,264583,3630877,76677,3759553
2016/7/21,19077372,5263779,3445,1154463,427246,8138420,4619706,861606,13465646,7817274,2135825,959199,267003,3509196,76309,3839424
2016/7/22,18781554,5308190,3577,1204910,403809,7785051,4228703,761606,13036041,8100213,2139921,863384,232819,3513004,83038,4068849
2016/7/23,14380849,3491600,2,521639,195068,5410764,4228156,283946,8073938,5978605,1639826,204751,86982,1678837,40482,3680081
2016/7/24,13668041,3152956,0,480329,153418,4780550,4121997,260177,6981129,5675834,1560279,176823,79205,1552869,35405,3537748
2016/7/25,21787137,5904480,3277,1261017,401328,8504942,4753817,1014653,15063051,8683857,2747772,702831,322225,3995237,84413,3915243
2016/7/26,18911254,5397390,3168,1230218,407419,7937050,4672853,1071611,13861233,8085636,2410209,669465,299548,3653903,80481,3928107
2016/7/27,17729017,5283034,3325,1243569,469127,7607246,4610799,864675,13237374,7945470,2016375,521935,262732,3703661,83498,3891336
2016/7/28,17715232,5369593,3401,1279198,389497,8055498,4609703,899138,13490459,7769682,1996433,1067037,278324,3805019,80150,3913093
2016/7/29,18075136,5545046,3541,1374321,363896,8022553,4633725,821355,13571997,8035521,1998875,751783,255584,3901627,82918,4204265
2016/7/30,13689013,3687422,4,599983,182116,5557426,4284326,299830,8378035,5944048,1358331,221892,90335,1712011,44073,4020772
2016/7/31,13507389,3374032,1,549423,153795,5182668,4203753,267561,7555922,6004599,1280303,183468,80203,1621245,42267,4130506
